;,CEC Title-24 Residential Compliance Ruleset,,,,,,
;,Climate Zone-based Inlet Mains Temperature data,,,,,,
;,Last modified:,,7/17/15 - SAC,,,,
;,,,,,,,
;,Source Data:,,Chip Barnaby - 7/17/15,,,,
;,,,,,,,
;,Mod history:,,7/17/15 - SAC created table,,,,
;,,,,,,,
;,Independents:,,,,,,
;,,1,CA Climate Zone (1-16),,,,
;,,,,,,,
;,Dependents:,,,,,,
;,,1,Inlet Mains Temperature (°F),,,,
;,,,,,,,
;,,,Inlet,,,,
;,,,Mains,,,,
;,,,Temp,,,,
;,,,(°F),,,,
,TABLE CAClimateZoneInletMainsTemp,,,,,,
,,ClimateZone,InletTemp,,,,
,,1,51.0619,,,,
,,2,56.9782,,,,
,,3,56.7546,,,,
,,4,59.234,,,,
,,5,55.5144,,,,
,,6,61.4636,,,,
,,7,62.2239,,,,
,,8,63.4418,,,,
,,9,63.5269,,,,
,,10,63.8712,,,,
,,11,62.9661,,,,
,,12,60.6119,,,,
,,13,63.8493,,,,
,,14,62.435,,,,
,,15,75.2127,,,,
,,16,51.5257,,,,
,ENDTABLE,,,,,,
