;,,,,9/8/13 - SAC - Integrated mods from Martha - toggling on various heating system types,,,,,,,,,,,,,,,,,,,,
;,,,,12/9/13 - MJB - efficiency updates for Electric system,,,,,,,,,,,,,,,,,,,,
;,,,,12/11/2013 - SAC - added AFUEValid & HSPFValid columns,,,,,,,,,,,,,,,,,,,,
;,,,,4/20/14 - SAC - added CanDHW & PropEqStd columns and also the new AirToWaterHeatPump & GroundSourceHeatPump equipment types,,,,,,,,,,,,,,,,,,,,
;,,,,1/26/15 - MJB added rows for other Standards - e.g. 2008 Title-24 and 2006 IECC,,,,,,,,,,,,,,,,,,,,
;,,,,1/6/16 - SAC - added ElecCombHydro heating system type => Combined Hydronic w/ electric storage heat source,,,,,,,,,,,,,,,,,,,,
;,,,,1/7/16 - SAC - added SDHVSplitHeatPump heating system type (tic 598),,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,
;,Independents:,,,,,,,,,,,,,,,,,,,,,,,
;,,,1,CodeBase - Standard or Code that should be used in the Std Design baseline,,,,,,,,,,,,,,,,,,,,
;,,,2,StdVer - Standards Version: ,,2014,,Compliance 2014:  valid through December 2014 (with current Federal Air Conditioning efficiency requirements,,,,,,,,,,,,,,,,
;,,,,,,2015,,Compliance 2015:  any time (with 2015 Federal Air Conditioning Requirements)  and solar credit,,,,,,,,,,,,,,,,
;,,,3,SysType - Heating System Type,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,
;,Dependents:,,,,,,,,,,,,,,,,,,,,,,,
;,,,1,AFUE - Minimum AFUE (%),,,,,,,,,,,,,,,,,,,,
;,,,2,HSPF - Minimum HSPF (ratio),,,,,,,,,,,,,,,,,,,,
;,,,3,SysAvail - (0/1) flag whether or not the system type is currently implemented in the compliance software,,,,,,,,,,,,,,,,,,,,
;,,,4,DuctFlag - 1 => requires ducts / 0 => ductless / -1 => may use ducts,,,,,,,,,,,,,,,,,,,,
;,,,5,IsHP - (0/1) flag indicating whether or not this system type is modeled as a heat pump,,,,,,,,,,,,,,,,,,,,
;,,,6,UseElec - (0/1) flag whether heating system's primary fuel source is electricity,,,,,,,,,,,,,,,,,,,,
;,,,7,UseGas - (0/1) flag whether heating system's primary fuel source is natural gas (or other fuel),,,,,,,,,,,,,,,,,,,,
;,,,8,CanDHW - (0/1) flag indicating that this equipment CAN serve as a DHW heater,,,,,,,,,,,,,,,,,,,,
;,,,9,ConstHtgSetpt - constant heating thermostat setpoint (typically only defined for Heat Pump systems / -1 => Not Used),,,,,,,,,,,,,,,,,,,,
;,,,10,PropEqStd - flag indicating that the proposed design system is to be setup/modeled the same as its corresponding standard design system,,,,,,,,,,,,,,,,,,,,
;,,,11,DuctedStdSys - standard design system if proposed system is ducted,,,,,,,,,,,,,,,,,,,,
;,,,12,DuctlessStdSys - standard design system if proposed system is NOT ducted,,,,,,,,,,,,,,,,,,,,
;,,,13,AFUEValid - (0/1) flag indicating whether or not the AFUE data is valid for the corresponding system type,,,,,,,,,,,,,,,,,,,,
;,,,14,HSPFValid - (0/1) flag indicating whether or not the HSPF data is valid for the corresponding system type,,,,,,,,,,,,,,,,,,,,
;,,,15,TotalCapacity,,,,,,,,,,,,,,,,,,,,
;,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,
;,,,,,(%),(ratio),ratio,,,,,,,,,,,,,,,,,
,TABLE CA13HeatingEquipment,,,,,,,,,,,,,,,,,,,,,,,
,,CodeBase,StdVer,SysType,AFUE,HSPF,COP,SysAvail,DuctFlag,IsHP,UseElec,UseGas,CanDHW,ConstHtgSetpt,PropEqStd,DuctedStdSys,DuctlessStdSys,AFUEValid,HSPFValid,COPValid,,,,
,,2013,2014,CntrlFurnace   ,78,Warning2,Warning3,1,1,0,0,1,0,-1,0,CntrlFurnace   ,N/A,1,0,0,;,CntrlFurnace - Fuel-fired central furnace                         ,,
,,2013,2014,WallFurnaceFan,75,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2013,2014,WallFurnaceGravity,65,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2013,2014,FloorFurnace,57,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2013,2014,RoomHeater,61,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2013,2014,Boiler         ,80,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,1,0,0,;,Boiler - Gas or oil boiler                                        ,,
,,2013,2014,WoodHeat,Warning1,Warning2,Warning3,1,0,0,0,0,0,-1,1,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,WoodHeat - Wood heat meeting exceptional method criteria,,DR 8/22/16 - added
,,2013,2014,SplitHeatPump  ,Warning1,7.7,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,SplitHeatPump - Heating side of central split heat pump           ,,
,,2013,2014,SDHVSplitHeatPump,Warning1,7.2,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump           ",,
,,2013,2014,DuctlessMiniSplitHeatPump,Warning1,7.7,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised
,,2013,2014,DuctlessMultiSplitHeatPump,Warning1,7.7,Warning4,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,DR 8/22/16 - added
,,2013,2014,DuctlessVRFHeatPump,Warning1,7.7,Warning5,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,DR 8/22/16 - added
,,2013,2014,PkgHeatPump    ,Warning1,7.7,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,PkgHeatPump - Heating side of central packaged heat pump          ,,
,,2013,2014,LrgPkgHeatPump ,Warning1,0,Warning3,0,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,0,0,;,LrgPkgHeatPump - Heating side of large (>= 65 kBtuh) packaged unit,,
,,2013,2014,RoomHeatPump   ,Warning1,7.4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,RoomHeatPump - Heating side of non-central room A/C system        ,,
,,2013,2014,Electric       ,Warning1,7.7,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,Electric - All electric heating systems other than heat pump      ,,
,,2013,2014,CombHydro      ,Warning1,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2013,2014,ElecCombHydro,Warning1,Warning2,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2013,2014,AirToWaterHeatPump,Warning1,Warning2,Warning3,1,-1,1,1,0,1,68,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,
,,2013,2014,GroundSourceHeatPump,Warning1,7.7,Warning3,1,-1,1,1,0,1,68,1,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,GroundSourceHeatPump - Ground source heat pump (able to heat DHW),,
;,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,2015,CntrlFurnace   ,78,Warning2,Warning3,1,1,0,0,1,0,-1,0,CntrlFurnace   ,N/A,1,0,0,;,CntrlFurnace - Fuel-fired central furnace                         ,,
,,2013,2015,WallFurnaceFan,73,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2013,2015,WallFurnaceGravity,59,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2013,2015,FloorFurnace,56,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2013,2015,RoomHeater,57,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Boiler - Gas or oil boiler                                        ,,
,,2013,2015,Boiler         ,80,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,1,0,0,;,Boiler - Gas or oil boiler                                        ,,
,,2013,2015,WoodHeat,Warning1,Warning2,Warning3,1,0,0,0,0,0,-1,1,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,WoodHeat - Wood heat meeting exceptional method criteria,,DR 8/22/16 - added
,,2013,2015,SplitHeatPump  ,Warning1,8.2,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,SplitHeatPump - Heating side of central split heat pump           ,,
,,2013,2015,SDHVSplitHeatPump,Warning1,7.2,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump           ",,
,,2013,2015,DuctlessMiniSplitHeatPump,Warning1,8.2,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised
,,2013,2015,DuctlessMultiSplitHeatPump,Warning1,7.7,Warning4,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,DR 8/22/16 - added
,,2013,2015,DuctlessVRFHeatPump,Warning1,7.7,Warning5,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,DR 8/22/16 - added
,,2013,2015,PkgHeatPump    ,Warning1,8.0,Warning6,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,PkgHeatPump - Heating side of central packaged heat pump          ,,
,,2013,2015,LrgPkgHeatPump ,Warning1,0,Warning3,0,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,0,0,;,LrgPkgHeatPump - Heating side of large (>= 65 kBtuh) packaged unit,,
,,2013,2015,RoomHeatPump   ,Warning1,7.4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,RoomHeatPump - Heating side of non-central room A/C system        ,,
,,2013,2015,Electric       ,Warning1,8.2,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,Electric - All electric heating systems other than heat pump      ,,
,,2013,2015,CombHydro      ,Warning1,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2013,2015,ElecCombHydro,Warning1,Warning2,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2013,2015,AirToWaterHeatPump,Warning1,Warning2,Warning3,1,-1,1,1,0,1,68,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,
,,2013,2015,GroundSourceHeatPump,Warning1,8.2,Warning3,1,-1,1,1,0,1,68,1,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,GroundSourceHeatPump - Ground source heat pump (able to heat DHW),,
;,,,,,,,,,,,,,,,,,,,,,,,,
; 2008 Title-24,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,2010,CntrlFurnace   ,78,Warning2,Warning3,1,1,0,0,1,0,-1,0,CntrlFurnace   ,N/A,1,0,0,;,CntrlFurnace - Fuel-fired central furnace                         ,,
,,2008,2010,WallFurnaceFan,75,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2008,2010,WallFurnaceGravity,65,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2008,2010,FloorFurnace,57,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2008,2010,RoomHeater,61,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2008,2010,Boiler         ,80,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,1,0,0,;,Boiler - Gas or oil boiler                                        ,,
,,2008,2010,WoodHeat,Warning1,Warning2,Warning3,1,0,0,0,0,0,-1,1,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,WoodHeat - Wood heat meeting exceptional method criteria,,DR 8/22/16 - added
,,2008,2010,SplitHeatPump  ,Warning1,7.7,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,SplitHeatPump - Heating side of central split heat pump           ,,
,,2008,2010,SDHVSplitHeatPump,Warning1,7.7,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump           ",,
,,2008,2010,DuctlessMiniSplitHeatPump,Warning1,7.7,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised
,,2008,2010,DuctlessMultiSplitHeatPump,Warning1,7.7,Warning4,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,1,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,DR 8/22/16 - added
,,2008,2010,DuctlessVRFHeatPump,Warning1,7.7,Warning5,1,-1,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,1,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,DR 8/22/16 - added
,,2008,2010,PkgHeatPump    ,Warning1,7.7,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,PkgHeatPump - Heating side of central packaged heat pump          ,,
,,2008,2010,LrgPkgHeatPump ,Warning1,0,Warning3,0,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,0,0,;,LrgPkgHeatPump - Heating side of large (>= 65 kBtuh) packaged unit,,
,,2008,2010,RoomHeatPump   ,Warning1,7.4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,RoomHeatPump - Heating side of non-central room A/C system        ,,
,,2008,2010,Electric       ,Warning1,7.7,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,Electric - All electric heating systems other than heat pump      ,,
,,2008,2010,CombHydro      ,Warning1,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2008,2010,ElecCombHydro,Warning1,Warning2,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2008,2010,AirToWaterHeatPump,Warning1,Warning2,Warning3,1,-1,1,1,0,1,68,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,
,,2008,2010,GroundSourceHeatPump,Warning1,7.7,Warning3,1,-1,1,1,0,1,68,1,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,GroundSourceHeatPump - Ground source heat pump (able to heat DHW),,
; 2006 IECC,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,2007,CntrlFurnace   ,78,Warning2,Warning3,1,1,0,0,1,0,-1,0,CntrlFurnace   ,N/A,1,0,0,;,CntrlFurnace - Fuel-fired central furnace                         ,,
,,2006,2007,WallFurnaceFan,75,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2006,2007,WallFurnaceGravity,65,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2006,2007,FloorFurnace,57,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2006,2007,RoomHeater,61,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2006,2007,Boiler         ,80,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,1,0,0,;,Boiler - Gas or oil boiler                                        ,,
,,2006,2007,WoodHeat,Warning1,Warning2,Warning3,1,0,0,0,0,0,-1,1,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,WoodHeat - Wood heat meeting exceptional method criteria,,DR 8/22/16 - added
,,2006,2007,SplitHeatPump  ,Warning1,7.7,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,SplitHeatPump - Heating side of central split heat pump           ,,
,,2006,2007,SDHVSplitHeatPump,Warning1,7.7,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump           ",,
,,2006,2007,DuctlessMiniSplitHeatPump,Warning1,7.7,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised
,,2006,2007,DuctlessMultiSplitHeatPump,Warning1,7.7,Warning4,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,1,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,DR 8/22/16 - added
,,2006,2007,DuctlessVRFHeatPump,Warning1,7.7,Warning5,1,-1,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,1,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,DR 8/22/16 - added
,,2006,2007,PkgHeatPump    ,Warning1,7.7,Warning6,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,PkgHeatPump - Heating side of central packaged heat pump          ,,
,,2006,2007,LrgPkgHeatPump ,Warning1,0,Warning3,0,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,0,0,;,LrgPkgHeatPump - Heating side of large (>= 65 kBtuh) packaged unit,,
,,2006,2007,RoomHeatPump   ,Warning1,7.4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,RoomHeatPump - Heating side of non-central room A/C system        ,,
,,2006,2007,Electric       ,Warning1,7.7,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,Electric - All electric heating systems other than heat pump      ,,
,,2006,2007,CombHydro      ,Warning1,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2006,2007,ElecCombHydro,Warning1,Warning2,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2006,2007,AirToWaterHeatPump,Warning1,Warning2,Warning3,1,-1,1,1,0,1,68,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,
,,2006,2007,GroundSourceHeatPump,Warning1,7.7,Warning3,1,-1,1,1,0,1,68,1,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,GroundSourceHeatPump - Ground source heat pump (able to heat DHW),,
; RESNET2014  (based on IECC 2006),,,,,,,,,,,,,,,,,,,,,,,,
,,2014,2014,CntrlFurnace   ,78,Warning2,Warning3,1,1,0,0,1,0,-1,0,CntrlFurnace   ,N/A,1,0,0,;,CntrlFurnace - Fuel-fired central furnace                         ,,
,,2014,2014,WallFurnaceFan,75,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2014,2014,WallFurnaceGravity,65,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2014,2014,FloorFurnace,57,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2014,2014,RoomHeater,61,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2014,2014,Boiler         ,80,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,1,0,0,;,Boiler - Gas or oil boiler                                        ,,
,,2014,2014,WoodHeat,Warning1,Warning2,Warning3,1,0,0,0,0,0,-1,1,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,WoodHeat - Wood heat meeting exceptional method criteria,,DR 8/22/16 - added
,,2014,2014,SplitHeatPump  ,Warning1,7.7,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,SplitHeatPump - Heating side of central split heat pump           ,,
,,2014,2014,SDHVSplitHeatPump,Warning1,7.7,Warning3,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump           ",,
,,2014,2014,DuctlessMiniSplitHeatPump,Warning1,7.7,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised
,,2014,2014,DuctlessMultiSplitHeatPump,Warning1,7.7,Warning4,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,1,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,DR 8/22/16 - added
,,2014,2014,DuctlessVRFHeatPump,Warning1,7.7,Warning5,1,-1,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,1,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,DR 8/22/16 - added
,,2014,2014,PkgHeatPump    ,Warning1,7.7,Warning6,1,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,1,0,;,PkgHeatPump - Heating side of central packaged heat pump          ,,
,,2014,2014,LrgPkgHeatPump ,Warning1,0,Warning3,0,1,1,1,0,0,68,0,SplitHeatPump  ,N/A,0,0,0,;,LrgPkgHeatPump - Heating side of large (>= 65 kBtuh) packaged unit,,
,,2014,2014,RoomHeatPump   ,Warning1,7.4,Warning3,1,0,1,1,0,0,68,1,N/A,SplitHeatPump  ,0,1,0,;,RoomHeatPump - Heating side of non-central room A/C system        ,,
,,2014,2014,Electric       ,Warning1,7.7,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,Electric - All electric heating systems other than heat pump      ,,
,,2014,2014,CombHydro      ,Warning1,Warning2,Warning3,1,-1,0,0,1,0,-1,0,CntrlFurnace   ,CntrlFurnace   ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2014,2014,ElecCombHydro,Warning1,Warning2,Warning3,1,-1,0,1,0,0,-1,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,CombHydro - Water heating system can be storage gas/elec/ht pump  ,,
,,2014,2014,AirToWaterHeatPump,Warning1,Warning2,Warning3,1,-1,1,1,0,1,68,0,SplitHeatPump  ,SplitHeatPump  ,0,0,0,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,
,,2014,2014,GroundSourceHeatPump,Warning1,7.7,Warning3,1,-1,1,1,0,1,68,1,SplitHeatPump  ,SplitHeatPump  ,0,1,0,;,GroundSourceHeatPump - Ground source heat pump (able to heat DHW),,
; 2016 Title 24,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,2017,CntrlFurnace   ,78,Warning2,Warning3,1,1,0,0,1,0,-1,0,CntrlFurnace   ,N/A,1,0,0,;,CntrlFurnace - Fuel-fired central furnace                         ,,
,,2016,2017,WallFurnaceFan,73,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
,,2016,2017,WallFurnaceGravity,59,Warning2,Warning3,1,0,0,0,1,0,-1,0,N/A,CntrlFurnace   ,1,0,0,;,Heater - Non-central fuel-fired space heater                      ,,
